,source,scolor,target,tcolor
1,John lennon,peru,Jackson Browne,peru
2,John lennon,peru,Fleetwood Mac,peru
3,John lennon,peru,Led Zeppelin,peru
4,John lennon,peru,Lou Reed,peru
6,John lennon,peru,Joe Cocker,peru
8,John lennon,peru,Neil Young,peru
9,Keith Urban,mistyrose,Ian Brown,darkorange
10,Keith Urban,mistyrose,Journey,slategray
11,Keith Urban,mistyrose,John Mayer,mistyrose
13,Keith Urban,mistyrose,Modest Mouse,darkorange
15,Keith Urban,mistyrose,Glass Animals,indigo
16,Keith Urban,mistyrose,Ratatat,royalblue
17,Ian Brown,darkorange,Brian Eno & John Cale,darkorange
18,Ian Brown,darkorange,Death Cab For Cutie,olive
19,Ian Brown,darkorange,John Mayer,mistyrose
20,Ian Brown,darkorange,Modest Mouse,darkorange
21,Ian Brown,darkorange,Dinosaur Jr.,darkorange
22,Ian Brown,darkorange,Grizzly Bear,olive
23,Ian Brown,darkorange,Interpol,darkorange
24,Ian Brown,darkorange,Keane,darkorange
25,Kid Cudi,darkseagreen,Nas,darkseagreen
26,Kid Cudi,darkseagreen,King Geedorah,darkseagreen
27,Kid Cudi,darkseagreen,OFWGKTA,darkseagreen
28,Kid Cudi,darkseagreen,Jay-Z,darkseagreen
29,Kid Cudi,darkseagreen,Immortal Technique,darkseagreen
30,Kid Cudi,darkseagreen,Lil Wayne,darkseagreen
32,Kid Cudi,darkseagreen,Spoon,olive
33,Kid Cudi,darkseagreen,Kendrick Lamar,darkseagreen
34,Kid Cudi,darkseagreen,Little Brother,darkseagreen
35,Bob Seger & the Silver Bullet Band,peru,Beach House,brown
36,Bob Seger & the Silver Bullet Band,peru,Elton John,peru
38,Bob Seger & the Silver Bullet Band,peru,The Rolling Stones,peru
40,Bob Seger & the Silver Bullet Band,peru,Bruce Springsteen,peru
41,Bob Seger & the Silver Bullet Band,peru,George Harrison,peru
