,name,genre,colour
0,Guided By Voices,Lo-Fi,"""Red"""
1,The Rolling Stones,Rock,"""Red"""
2,Kanye West,Hip-Hop,"""Red"""
3,The Clash,Punk,"""Red"""
4,The Flaming Lips,Alternative Rock,"""Red"""
5,El-P,Hip-Hop,"""Red"""
6,The Police,New Wave,"""Red"""
7,Peter Frampton,Rock,"""Red"""
8,Gorillaz,Alternative Rock,"""Red"""
9,Guided By Voices,Lo-Fi,"""Red"""
10,Mobb Deep,Hip-Hop,"""Red"""
11,Mac Demarco,Indie Rock,"""Red"""
12,Metal Fingers,Hip-Hop,"""Red"""
13,Morcheeba,Pop,"""Red"""
14,New Order,New Wave,"""Red"""
15,The Rolling Stones,Rock,"""Red"""
16,The Police,New Wave,"""Red"""
17,The Clash,Punk,"""Red"""
18,Van Morrison,R&B,"""Red"""
19,The Who,Rock,"""Red"""
20,Wings,Rock,"""Red"""
21,Method Man,Hip-Hop,"""Red"""
22,Menomena,Indie Rock,"""Red"""
23,MF DOOM,Hip-Hop,"""Red"""
24,Modest Mouse,Indie Rock,"""Red"""
25,MGMT,Electronic,"""Red"""
26,Kanye West,Hip-Hop,"""Red"""
27,Mayer Hawthorne,Indie Rock,"""Red"""
28,Roger Waters,Rock,"""Red"""
29,Sting,Pop,"""Red"""
30,Supertramp,Rock,"""Red"""
31,Steely Dan,Rock,"""Red"""
32,Stevie Wonder,R&B,"""Blue"""
33,Suckers,Rock,"""Blue"""
34,The Lumineers,Folk,"""Blue"""
35,Silversun Pickups,Alternative Rock,"""Blue"""
36,The National,Indie Rock,"""Blue"""
37,The Flaming Lips,Alternative Rock,"""Blue"""
38,She Wants Revenge,Alternative Rock,"""Blue"""
39,El-P,Hip-Hop,"""Blue"""
40,Mos Def,Hip-Hop,"""Blue"""
41,Gorillaz,Alternative Rock,"""Blue"""
42,Mikal Cronin,Indie Rock,"""Blue"""
43, Snow Patrol,Indie Rock,"""Blue"""
44,Nas,Hip-Hop,"""Blue"""
45,Masta Ace,Hip-Hop,"""Blue"""
46,The Notorious B.I.G.,Hip-Hop,"""Blue"""
47,Sparklehorse,Indie Rock,"""Green"""
48,The Pixies,Alternative Rock,"""Green"""
49,The Magnetic Fields,Indie Rock,"""Green"""
50,The Pharcyde,Hip-Hop,"""Green"""
51,Peter Frampton,Rock,"""Green"""
52,Pink Floyd,Progressive Rock,"""Green"""
53,Paul McCartney & Wings,Rock,"""Green"""
54,The Smiths,Pop,"""Green"""
55,The Strokes,Rock,"""Green"""
56,Arctic Monkeys,Alternative Rock,"""Green"""
57,Moby,Electronic,"""Green"""
58,Radiohead,Alternative Rock,"""Green"""
